scope,model_id,benchmark_id,generated_protocol_count,common_complete_initial_failures,repaired_by_any,repaired_by_any_rate,never_repaired
pooled,,,8,4353,337,0.07741787273144958,4016
model_benchmark,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,8,691,42,0.060781476121562955,649
model_benchmark,deepseek-coder-v2-lite-instruct,humaneval_plus,8,35,9,0.2571428571428571,26
model_benchmark,deepseek-coder-v2-lite-instruct,mbpp_plus,8,97,15,0.15463917525773196,82
model_benchmark,devstral-small-2-24b-instruct,bigcodebench_instruct,8,595,50,0.08403361344537816,545
model_benchmark,devstral-small-2-24b-instruct,humaneval_plus,8,23,10,0.43478260869565216,13
model_benchmark,devstral-small-2-24b-instruct,mbpp_plus,8,112,19,0.16964285714285715,93
model_benchmark,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,8,567,25,0.04409171075837742,542
model_benchmark,gemma-4-31b-it-qat-w4a16,humaneval_plus,8,5,0,0.0,5
model_benchmark,gemma-4-31b-it-qat-w4a16,mbpp_plus,8,74,10,0.13513513513513514,64
model_benchmark,qwen2.5-coder-14b-instruct,bigcodebench_instruct,8,577,19,0.03292894280762565,558
model_benchmark,qwen2.5-coder-14b-instruct,humaneval_plus,8,19,4,0.21052631578947367,15
model_benchmark,qwen2.5-coder-14b-instruct,mbpp_plus,8,90,17,0.18888888888888888,73
model_benchmark,qwen2.5-coder-7b-instruct,bigcodebench_instruct,8,670,37,0.05522388059701493,633
model_benchmark,qwen2.5-coder-7b-instruct,humaneval_plus,8,21,3,0.14285714285714285,18
model_benchmark,qwen2.5-coder-7b-instruct,mbpp_plus,8,95,6,0.06315789473684211,89
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,8,573,49,0.08551483420593368,524
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,8,22,9,0.4090909090909091,13
model_benchmark,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,8,87,13,0.14942528735632185,74
