protocol,model_task_rows,determinate,correct,pass_rate,timeout_or_indeterminate,malformed_candidate,complete_transitions,repair,repair_rate,regression,regression_rate,functional_preservation,unrepaired_failure,repair_minus_regression,end_to_end_tokens_total,end_to_end_tokens_mean,end_to_end_tokens_median
cpr,10062,10027,5145,0.5131145906053655,35,9,10010,209,0.04805702460335709,725,0.12806924571630454,4936,4140,-516,30782957,3061.7621842052913,2756.0
cr,10062,10029,5269,0.5253764084155947,33,22,9999,222,0.051116739580934836,610,0.10785007072135785,5046,4121,-388,22645524,2252.3894967177243,2041.0
dcpr,10062,10030,5657,0.5640079760717847,32,8,10021,73,0.016750803120697568,79,0.013950203072576373,5584,4285,-6,11944729,1188.057390093495,871.5
dcr,10062,10031,5666,0.5648489681985844,31,12,10017,73,0.016766192007349565,70,0.012360939431396786,5593,4281,3,11058285,1099.889098866123,871.5
direct,10062,10033,5663,0.5644373567228147,29,8,10025,0,0.0,0,0.0,5663,4362,0,4662728,463.3997217253031,435.0
dr,10062,10032,5684,0.5665869218500797,30,9,10023,25,0.005733944954128441,4,0.0007063393960798164,5659,4335,21,9796601,974.3983489158544,869.0
r,10062,10032,5697,0.5678827751196173,30,9,10023,56,0.012844036697247707,22,0.0038848666784389897,5641,4304,34,11726343,1166.3360851402426,1095.0
sc_cpr,10062,10036,5467,0.54473893981666,26,552,9481,94,0.02324431256181998,64,0.011771197351480595,5373,3950,30,12617024,1254.9258006763478,1178.5
sc_cr,10062,10035,5665,0.5645241654210265,27,80,9955,86,0.019912016670525584,57,0.010113555713271823,5579,4233,29,12076089,1201.1228366819175,1124.0
sc_dcpr,10062,10031,5648,0.5630545309540425,31,58,9972,96,0.022155550426955918,87,0.015428267423302004,5552,4237,9,12626718,1255.889994032226,1180.0
sc_dcr,10062,10032,5671,0.5652910685805422,30,38,9994,68,0.015646571560055222,45,0.00796742209631728,5603,4278,23,12416880,1235.0188979510642,1160.5
sc_dr,10062,10033,5691,0.5672281471145221,29,13,10020,64,0.014685635612666361,35,0.006181561285764747,5627,4294,29,12241044,1217.529739407201,1143.0
