model_id,benchmark_id,protocol,total_rows,complete_transitions,excluded,repair,repair_denominator_initial_fail,repair_rate,regression,regression_denominator_initial_pass,regression_rate,functional_preservation,functional_preservation_rate,unrepaired_failure,unrepaired_failure_rate,repair_minus_regression,net_gain_rate
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,1136,1126,10,28,691,0.04052098408104197,114,435,0.2620689655172414,321,0.7379310344827587,663,0.959479015918958,-86,-0.0763765541740675
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,1136,1127,9,33,692,0.0476878612716763,100,435,0.22988505747126436,335,0.7701149425287356,659,0.9523121387283237,-67,-0.05944986690328305
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcpr,1136,1128,8,0,693,0.0,0,435,0.0,435,1.0,693,1.0,0,0.0
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcr,1136,1128,8,0,693,0.0,0,435,0.0,435,1.0,693,1.0,0,0.0
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,direct,1136,1128,8,0,693,0.0,0,435,0.0,435,1.0,693,1.0,0,0.0
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dr,1136,1128,8,0,693,0.0,0,435,0.0,435,1.0,693,1.0,0,0.0
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,1136,1128,8,2,693,0.002886002886002886,4,435,0.009195402298850575,431,0.9908045977011494,691,0.9971139971139971,-2,-0.0017730496453900709
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cpr,1136,642,494,6,391,0.015345268542199489,7,251,0.027888446215139442,244,0.9721115537848606,385,0.9846547314578005,-1,-0.001557632398753894
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cr,1136,1071,65,7,655,0.010687022900763359,10,416,0.02403846153846154,406,0.9759615384615384,648,0.9893129770992366,-3,-0.0028011204481792717
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,1136,1110,26,4,682,0.005865102639296188,7,428,0.016355140186915886,421,0.9836448598130841,678,0.9941348973607038,-3,-0.002702702702702703
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,1136,1123,13,5,689,0.00725689404934688,7,434,0.016129032258064516,427,0.9838709677419355,684,0.9927431059506531,-2,-0.0017809439002671415
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,1136,1128,8,6,693,0.008658008658008658,6,435,0.013793103448275862,429,0.9862068965517241,687,0.9913419913419913,0,0.0
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,163,160,3,7,35,0.2,21,125,0.168,104,0.832,28,0.8,-14,-0.0875
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,163,160,3,7,35,0.2,17,125,0.136,108,0.864,28,0.8,-10,-0.0625
deepseek-coder-v2-lite-instruct,humaneval_plus,dcpr,163,162,1,0,36,0.0,0,126,0.0,126,1.0,36,1.0,0,0.0
deepseek-coder-v2-lite-instruct,humaneval_plus,dcr,163,162,1,0,36,0.0,0,126,0.0,126,1.0,36,1.0,0,0.0
deepseek-coder-v2-lite-instruct,humaneval_plus,direct,163,162,1,0,36,0.0,0,126,0.0,126,1.0,36,1.0,0,0.0
deepseek-coder-v2-lite-instruct,humaneval_plus,dr,163,162,1,0,36,0.0,0,126,0.0,126,1.0,36,1.0,0,0.0
