sensitivity,model_id,benchmark_id,always_refine_protocol,decision_protocol,initial_pass_rate,correctness_difference,net_token_saving_mean
all_resolved,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,dr,0.38563829787234044,0.0017730496453900709,294.44757709251104
all_resolved,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,dcr,0.38563829787234044,0.05944986690328305,1862.0273127753303
all_resolved,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,dcpr,0.38563829787234044,0.0763765541740675,3065.1568281938326
all_resolved,deepseek-coder-v2-lite-instruct,humaneval_plus,r,dr,0.7777777777777778,0.006172839506172839,285.8588957055215
all_resolved,deepseek-coder-v2-lite-instruct,humaneval_plus,cr,dcr,0.7777777777777778,0.0625,1382.2453987730062
all_resolved,deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,dcpr,0.7777777777777778,0.0875,2265.398773006135
all_resolved,deepseek-coder-v2-lite-instruct,mbpp_plus,r,dr,0.7379679144385026,-0.00267379679144385,159.81746031746033
all_resolved,deepseek-coder-v2-lite-instruct,mbpp_plus,cr,dcr,0.7379679144385026,0.10991957104557641,809.8941798941798
all_resolved,deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,dcpr,0.7379679144385026,0.13903743315508021,1349.8703703703704
all_resolved,devstral-small-2-24b-instruct,bigcodebench_instruct,r,dr,0.4735915492957746,-0.0017605633802816902,238.44982394366198
all_resolved,devstral-small-2-24b-instruct,bigcodebench_instruct,cr,dcr,0.4735915492957746,0.07142857142857142,1601.2227112676057
all_resolved,devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,dcpr,0.4735915492957746,0.0970873786407767,2753.393485915493
all_resolved,devstral-small-2-24b-instruct,humaneval_plus,r,dr,0.8571428571428571,-0.018633540372670808,174.72392638036808
all_resolved,devstral-small-2-24b-instruct,humaneval_plus,cr,dcr,0.8571428571428571,0.024844720496894408,996.5398773006135
all_resolved,devstral-small-2-24b-instruct,humaneval_plus,cpr,dcpr,0.8571428571428571,0.031055900621118012,1779.079754601227
all_resolved,devstral-small-2-24b-instruct,mbpp_plus,r,dr,0.704,-0.0026666666666666666,108.82712765957447
all_resolved,devstral-small-2-24b-instruct,mbpp_plus,cr,dcr,0.704,0.013368983957219251,710.2712765957447
all_resolved,devstral-small-2-24b-instruct,mbpp_plus,cpr,dcpr,0.704,0.034759358288770054,1285.186170212766
all_resolved,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,dr,0.5008802816901409,-0.0044014084507042256,233.82042253521126
all_resolved,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,dcr,0.5008802816901409,0.002640845070422535,1010.7737676056338
all_resolved,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,dcpr,0.5008802816901409,0.002640845070422535,1603.3899647887324
all_resolved,gemma-4-31b-it-qat-w4a16,humaneval_plus,r,dr,0.968944099378882,0.006211180124223602,223.4723926380368
all_resolved,gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,dcr,0.968944099378882,0.018633540372670808,868.3312883435583
all_resolved,gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,dcpr,0.968944099378882,0.018633540372670808,1354.79754601227
all_resolved,gemma-4-31b-it-qat-w4a16,mbpp_plus,r,dr,0.808,0.0,172.0505319148936
all_resolved,gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,dcr,0.808,0.005319148936170213,651.3590425531914
all_resolved,gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,dcpr,0.808,0.008,1007.5664893617021
all_resolved,qwen2.5-coder-14b-instruct,bigcodebench_instruct,r,dr,0.49119718309859156,0.0,208.07922535211267
all_resolved,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,dcr,0.49119718309859156,0.007922535211267605,869.3802816901408
all_resolved,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,dcpr,0.49119718309859156,0.007929515418502203,1417.6205985915492
all_resolved,qwen2.5-coder-14b-instruct,humaneval_plus,r,dr,0.8819875776397516,0.006211180124223602,188.66871165644173
all_resolved,qwen2.5-coder-14b-instruct,humaneval_plus,cr,dcr,0.8819875776397516,0.031055900621118012,761.3374233128834
all_resolved,qwen2.5-coder-14b-instruct,humaneval_plus,cpr,dcpr,0.8819875776397516,0.024844720496894408,1239.8282208588957
all_resolved,qwen2.5-coder-14b-instruct,mbpp_plus,r,dr,0.7612732095490716,0.0,137.6984126984127
all_resolved,qwen2.5-coder-14b-instruct,mbpp_plus,cr,dcr,0.7612732095490716,0.015915119363395226,613.7857142857143
all_resolved,qwen2.5-coder-14b-instruct,mbpp_plus,cpr,dcpr,0.7612732095490716,0.015915119363395226,944.8915343915344
all_resolved,qwen2.5-coder-7b-instruct,bigcodebench_instruct,r,dr,0.4102112676056338,-0.00528169014084507,188.35475352112675
all_resolved,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,dcr,0.4102112676056338,0.0,902.7464788732394
all_resolved,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr,dcpr,0.4102112676056338,0.0008802816901408451,1463.5809859154929
all_resolved,qwen2.5-coder-7b-instruct,humaneval_plus,r,dr,0.8695652173913043,0.006211180124223602,184.1840490797546
all_resolved,qwen2.5-coder-7b-instruct,humaneval_plus,cr,dcr,0.8695652173913043,0.031055900621118012,756.963190184049
all_resolved,qwen2.5-coder-7b-instruct,humaneval_plus,cpr,dcpr,0.8695652173913043,0.031055900621118012,1225.7791411042945
all_resolved,qwen2.5-coder-7b-instruct,mbpp_plus,r,dr,0.7413333333333333,0.0,129.16666666666666
all_resolved,qwen2.5-coder-7b-instruct,mbpp_plus,cr,dcr,0.7413333333333333,0.008021390374331552,524.3174603174604
all_resolved,qwen2.5-coder-7b-instruct,mbpp_plus,cpr,dcpr,0.7413333333333333,0.013368983957219251,833.0873015873016
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,r,dr,0.4951541850220264,-0.000881057268722467,85.0387665198238
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cr,dcr,0.4951541850220264,0.10229276895943562,1706.930396475771
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,cpr,dcpr,0.4951541850220264,0.12874779541446207,2608.830837004405
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,r,dr,0.8679245283018868,0.0,167.65217391304347
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cr,dcr,0.8679245283018868,0.0189873417721519,1245.4099378881988
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,cpr,dcpr,0.8679245283018868,0.056962025316455694,1971.807453416149
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,r,dr,0.7612732095490716,0.0,121.72751322751323
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cr,dcr,0.7612732095490716,0.08776595744680851,874.3862433862433
all_resolved,qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,cpr,dcpr,0.7612732095490716,0.09840425531914894,1407.5714285714287
exact_only,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,dr,0.38563829787234044,0.002008032128514056,288.249500998004
exact_only,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,dcr,0.38563829787234044,0.06532663316582915,1828.629740518962
exact_only,deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,dcpr,0.38563829787234044,0.08148893360160966,3012.1676646706587
exact_only,deepseek-coder-v2-lite-instruct,humaneval_plus,r,dr,0.7777777777777778,0.006289308176100629,286.59375
exact_only,deepseek-coder-v2-lite-instruct,humaneval_plus,cr,dcr,0.7777777777777778,0.06369426751592357,1382.5375
exact_only,deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,dcpr,0.7777777777777778,0.08917197452229299,2267.38125
exact_only,deepseek-coder-v2-lite-instruct,mbpp_plus,r,dr,0.7379679144385026,-0.0028089887640449437,156.5223463687151
exact_only,deepseek-coder-v2-lite-instruct,mbpp_plus,cr,dcr,0.7379679144385026,0.11267605633802817,792.18156424581
exact_only,deepseek-coder-v2-lite-instruct,mbpp_plus,cpr,dcpr,0.7379679144385026,0.1404494382022472,1323.0307262569831
exact_only,devstral-small-2-24b-instruct,bigcodebench_instruct,r,dr,0.4735915492957746,-0.0017605633802816902,238.44982394366198
exact_only,devstral-small-2-24b-instruct,bigcodebench_instruct,cr,dcr,0.4735915492957746,0.07142857142857142,1601.2227112676057
exact_only,devstral-small-2-24b-instruct,bigcodebench_instruct,cpr,dcpr,0.4735915492957746,0.0970873786407767,2753.393485915493
exact_only,devstral-small-2-24b-instruct,humaneval_plus,r,dr,0.8571428571428571,-0.018633540372670808,174.72392638036808
exact_only,devstral-small-2-24b-instruct,humaneval_plus,cr,dcr,0.8571428571428571,0.024844720496894408,996.5398773006135
exact_only,devstral-small-2-24b-instruct,humaneval_plus,cpr,dcpr,0.8571428571428571,0.031055900621118012,1779.079754601227
exact_only,devstral-small-2-24b-instruct,mbpp_plus,r,dr,0.704,-0.0026666666666666666,108.82712765957447
exact_only,devstral-small-2-24b-instruct,mbpp_plus,cr,dcr,0.704,0.013368983957219251,710.2712765957447
exact_only,devstral-small-2-24b-instruct,mbpp_plus,cpr,dcpr,0.704,0.034759358288770054,1285.186170212766
exact_only,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,dr,0.5008802816901409,-0.0044014084507042256,233.82042253521126
exact_only,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,dcr,0.5008802816901409,0.002640845070422535,1010.7737676056338
exact_only,gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,dcpr,0.5008802816901409,0.002640845070422535,1603.3899647887324
exact_only,gemma-4-31b-it-qat-w4a16,humaneval_plus,r,dr,0.968944099378882,0.006211180124223602,223.4723926380368
exact_only,gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,dcr,0.968944099378882,0.018633540372670808,868.3312883435583
exact_only,gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,dcpr,0.968944099378882,0.018633540372670808,1354.79754601227
exact_only,gemma-4-31b-it-qat-w4a16,mbpp_plus,r,dr,0.808,0.0,172.0505319148936
exact_only,gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,dcr,0.808,0.005319148936170213,651.3590425531914
exact_only,gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,dcpr,0.808,0.008,1007.5664893617021
exact_only,qwen2.5-coder-14b-instruct,bigcodebench_instruct,r,dr,0.49119718309859156,0.0,208.07922535211267
exact_only,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,dcr,0.49119718309859156,0.007922535211267605,869.3802816901408
exact_only,qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,dcpr,0.49119718309859156,0.007929515418502203,1417.6205985915492
exact_only,qwen2.5-coder-14b-instruct,humaneval_plus,r,dr,0.8819875776397516,0.006211180124223602,188.66871165644173
exact_only,qwen2.5-coder-14b-instruct,humaneval_plus,cr,dcr,0.8819875776397516,0.031055900621118012,761.3374233128834
exact_only,qwen2.5-coder-14b-instruct,humaneval_plus,cpr,dcpr,0.8819875776397516,0.024844720496894408,1239.8282208588957
exact_only,qwen2.5-coder-14b-instruct,mbpp_plus,r,dr,0.7612732095490716,0.0,137.6984126984127
exact_only,qwen2.5-coder-14b-instruct,mbpp_plus,cr,dcr,0.7612732095490716,0.015915119363395226,613.7857142857143
exact_only,qwen2.5-coder-14b-instruct,mbpp_plus,cpr,dcpr,0.7612732095490716,0.015915119363395226,944.8915343915344
exact_only,qwen2.5-coder-7b-instruct,bigcodebench_instruct,r,dr,0.4102112676056338,-0.00528169014084507,188.35475352112675
exact_only,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr,dcr,0.4102112676056338,0.0,902.7464788732394
exact_only,qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr,dcpr,0.4102112676056338,0.0008802816901408451,1463.5809859154929
exact_only,qwen2.5-coder-7b-instruct,humaneval_plus,r,dr,0.8695652173913043,0.006211180124223602,184.1840490797546
exact_only,qwen2.5-coder-7b-instruct,humaneval_plus,cr,dcr,0.8695652173913043,0.031055900621118012,756.963190184049
exact_only,qwen2.5-coder-7b-instruct,humaneval_plus,cpr,dcpr,0.8695652173913043,0.031055900621118012,1225.7791411042945
exact_only,qwen2.5-coder-7b-instruct,mbpp_plus,r,dr,0.7413333333333333,0.0,129.16666666666666
exact_only,qwen2.5-coder-7b-instruct,mbpp_plus,cr,dcr,0.7413333333333333,0.008021390374331552,524.3174603174604
