model_id,benchmark_id,contrast,side,protocol,common_complete_tasks,repair,repair_rate,regression,regression_rate,functional_preservation,unrepaired_failure
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr:sc_cr,multi_call,cr,1070,31,0.047400611620795105,91,0.21875,325,623
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr:sc_cr,single_call,sc_cr,1070,7,0.010703363914373088,10,0.02403846153846154,406,647
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr:sc_cpr,multi_call,cpr,641,19,0.04871794871794872,63,0.250996015936255,188,371
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr:sc_cpr,single_call,sc_cpr,641,6,0.015384615384615385,7,0.027888446215139442,244,384
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dr:sc_dr,multi_call,dr,1128,0,0.0,0,0.0,435,693
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dr:sc_dr,single_call,sc_dr,1128,6,0.008658008658008658,6,0.013793103448275862,429,687
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcr:sc_dcr,multi_call,dcr,1123,0,0.0,0,0.0,434,689
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcr:sc_dcr,single_call,sc_dcr,1123,5,0.00725689404934688,7,0.016129032258064516,427,684
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcpr:sc_dcpr,multi_call,dcpr,1110,0,0.0,0,0.0,428,682
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcpr:sc_dcpr,single_call,sc_dcpr,1110,4,0.005865102639296188,7,0.016355140186915886,421,678
deepseek-coder-v2-lite-instruct,humaneval_plus,cr:sc_cr,multi_call,cr,153,6,0.18181818181818182,15,0.125,105,27
deepseek-coder-v2-lite-instruct,humaneval_plus,cr:sc_cr,single_call,sc_cr,153,2,0.06060606060606061,1,0.008333333333333333,119,31
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr:sc_cpr,multi_call,cpr,127,6,0.24,18,0.17647058823529413,84,19
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr:sc_cpr,single_call,sc_cpr,127,3,0.12,6,0.058823529411764705,96,22
deepseek-coder-v2-lite-instruct,humaneval_plus,dr:sc_dr,multi_call,dr,162,0,0.0,0,0.0,126,36
deepseek-coder-v2-lite-instruct,humaneval_plus,dr:sc_dr,single_call,sc_dr,162,0,0.0,0,0.0,126,36
deepseek-coder-v2-lite-instruct,humaneval_plus,dcr:sc_dcr,multi_call,dcr,161,0,0.0,0,0.0,126,35
deepseek-coder-v2-lite-instruct,humaneval_plus,dcr:sc_dcr,single_call,sc_dcr,161,1,0.02857142857142857,1,0.007936507936507936,125,34
deepseek-coder-v2-lite-instruct,humaneval_plus,dcpr:sc_dcpr,multi_call,dcpr,160,0,0.0,0,0.0,126,34
deepseek-coder-v2-lite-instruct,humaneval_plus,dcpr:sc_dcpr,single_call,sc_dcpr,160,0,0.0,1,0.007936507936507936,125,34
deepseek-coder-v2-lite-instruct,mbpp_plus,cr:sc_cr,multi_call,cr,373,11,0.1134020618556701,52,0.18840579710144928,224,86
deepseek-coder-v2-lite-instruct,mbpp_plus,cr:sc_cr,single_call,sc_cr,373,5,0.05154639175257732,6,0.021739130434782608,270,92
deepseek-coder-v2-lite-instruct,mbpp_plus,cpr:sc_cpr,multi_call,cpr,365,5,0.052083333333333336,55,0.20446096654275092,214,91
deepseek-coder-v2-lite-instruct,mbpp_plus,cpr:sc_cpr,single_call,sc_cpr,365,3,0.03125,3,0.011152416356877323,266,93
deepseek-coder-v2-lite-instruct,mbpp_plus,dr:sc_dr,multi_call,dr,373,0,0.0,0,0.0,276,97
deepseek-coder-v2-lite-instruct,mbpp_plus,dr:sc_dr,single_call,sc_dr,373,2,0.020618556701030927,4,0.014492753623188406,272,95
deepseek-coder-v2-lite-instruct,mbpp_plus,dcr:sc_dcr,multi_call,dcr,365,0,0.0,0,0.0,271,94
deepseek-coder-v2-lite-instruct,mbpp_plus,dcr:sc_dcr,single_call,sc_dcr,365,3,0.031914893617021274,3,0.01107011070110701,268,91
deepseek-coder-v2-lite-instruct,mbpp_plus,dcpr:sc_dcpr,multi_call,dcpr,362,0,0.0,0,0.0,270,92
deepseek-coder-v2-lite-instruct,mbpp_plus,dcpr:sc_dcpr,single_call,sc_dcpr,362,2,0.021739130434782608,3,0.011111111111111112,267,90
devstral-small-2-24b-instruct,bigcodebench_instruct,cr:sc_cr,multi_call,cr,1134,28,0.04690117252931323,109,0.20297951582867785,428,569
devstral-small-2-24b-instruct,bigcodebench_instruct,cr:sc_cr,single_call,sc_cr,1134,13,0.021775544388609715,7,0.01303538175046555,530,584
devstral-small-2-24b-instruct,bigcodebench_instruct,cpr:sc_cpr,multi_call,cpr,1133,31,0.052100840336134456,139,0.258364312267658,399,564
devstral-small-2-24b-instruct,bigcodebench_instruct,cpr:sc_cpr,single_call,sc_cpr,1133,12,0.020168067226890758,9,0.016728624535315983,529,583
devstral-small-2-24b-instruct,bigcodebench_instruct,dr:sc_dr,multi_call,dr,1136,3,0.005016722408026756,1,0.0018587360594795538,537,595
devstral-small-2-24b-instruct,bigcodebench_instruct,dr:sc_dr,single_call,sc_dr,1136,9,0.015050167224080268,5,0.00929368029739777,533,589
devstral-small-2-24b-instruct,bigcodebench_instruct,dcr:sc_dcr,multi_call,dcr,1136,2,0.0033444816053511705,2,0.0037174721189591076,536,596
devstral-small-2-24b-instruct,bigcodebench_instruct,dcr:sc_dcr,single_call,sc_dcr,1136,12,0.020066889632107024,8,0.01486988847583643,530,586
devstral-small-2-24b-instruct,bigcodebench_instruct,dcpr:sc_dcpr,multi_call,dcpr,1135,4,0.006700167504187605,2,0.0037174721189591076,536,593
devstral-small-2-24b-instruct,bigcodebench_instruct,dcpr:sc_dcpr,single_call,sc_dcpr,1135,15,0.02512562814070352,15,0.027881040892193308,523,582
devstral-small-2-24b-instruct,humaneval_plus,cr:sc_cr,multi_call,cr,160,7,0.3181818181818182,9,0.06521739130434782,129,15
devstral-small-2-24b-instruct,humaneval_plus,cr:sc_cr,single_call,sc_cr,160,3,0.13636363636363635,0,0.0,138,19
devstral-small-2-24b-instruct,humaneval_plus,cpr:sc_cpr,multi_call,cpr,161,7,0.30434782608695654,11,0.07971014492753623,127,16
devstral-small-2-24b-instruct,humaneval_plus,cpr:sc_cpr,single_call,sc_cpr,161,3,0.13043478260869565,0,0.0,138,20
devstral-small-2-24b-instruct,humaneval_plus,dr:sc_dr,multi_call,dr,160,0,0.0,0,0.0,138,22
devstral-small-2-24b-instruct,humaneval_plus,dr:sc_dr,single_call,sc_dr,160,2,0.09090909090909091,1,0.007246376811594203,137,20
devstral-small-2-24b-instruct,humaneval_plus,dcr:sc_dcr,multi_call,dcr,160,2,0.09090909090909091,0,0.0,138,20
devstral-small-2-24b-instruct,humaneval_plus,dcr:sc_dcr,single_call,sc_dcr,160,3,0.13636363636363635,0,0.0,138,19
devstral-small-2-24b-instruct,humaneval_plus,dcpr:sc_dcpr,multi_call,dcpr,158,2,0.09090909090909091,1,0.007352941176470588,135,20
