model_id,benchmark_id,protocol,total_rows,cost_determinate,end_to_end_tokens_total,end_to_end_tokens_mean,end_to_end_tokens_median,end_to_end_input_tokens_total,end_to_end_input_tokens_mean,end_to_end_input_tokens_median,end_to_end_output_tokens_total,end_to_end_output_tokens_mean,end_to_end_output_tokens_median,incremental_tokens_total,incremental_input_tokens_total,incremental_output_tokens_total,decision_overhead_tokens_total,avoided_refinement_tokens_total,net_token_saving_total,determinate_final,correct,pass_rate
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cpr,1136,1135,4642492,4090.301321585903,3917,3066602,2701.8519823788547,2595,1575890,1388.4493392070485,1353,4051856,2754427,1297429,,,,1130,349,0.3088495575221239
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,cr,1136,1135,3276940,2887.171806167401,2801,2098978,1849.3198237885463,1789,1177962,1037.8519823788547,1019,2686304,1786803,899501,,,,1130,368,0.3256637168141593
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcpr,1136,1135,1163539,1025.1444933920704,974,880405,775.6872246696036,729,283134,249.45726872246695,236,572903,568230,4673,572903,4051856,3478953,1129,435,0.3852967227635075
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dcr,1136,1135,1163539,1025.1444933920704,974,880405,775.6872246696036,729,283134,249.45726872246695,236,572903,568230,4673,572903,2686304,2113401,1129,435,0.3852967227635075
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,direct,1136,1136,595026,523.7904929577464,495.0,312469,275.0607394366197,258.0,282557,248.72975352112675,232.0,0,0,0,,,,1129,435,0.3852967227635075
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,dr,1136,1135,1163539,1025.1444933920704,974,880405,775.6872246696036,729,283134,249.45726872246695,236,572903,568230,4673,572903,907101,334198,1129,435,0.3852967227635075
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,r,1136,1135,1497737,1319.5920704845814,1257,939425,827.6872246696036,781,558312,491.904845814978,464,907101,627250,279851,,,,1129,433,0.38352524357838796
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cpr,1136,1135,1827517,1610.1471365638768,1547,973475,857.6872246696036,811,854042,752.4599118942731,715,1236881,661300,575581,,,,1129,250,0.22143489813994685
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_cr,1136,1135,1563332,1377.3850220264317,1292,960990,846.6872246696036,800,602342,530.6977973568282,479,972696,648815,323881,,,,1129,413,0.36581045172719223
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcpr,1136,1135,1596036,1406.1991189427313,1344,1016605,895.6872246696036,849,579431,510.5118942731278,480,1005400,704430,300970,,,,1129,425,0.37643932683790965
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dcr,1136,1135,1576939,1389.3735682819383,1328,1006390,886.6872246696036,840,570549,502.6863436123348,475,986303,694215,292088,,,,1129,432,0.3826395039858282
deepseek-coder-v2-lite-instruct,bigcodebench_instruct,sc_dr,1136,1135,1556832,1371.6581497797356,1311,990500,872.6872246696036,826,566332,498.97092511013216,472,966196,678325,287871,,,,1129,435,0.3852967227635075
deepseek-coder-v2-lite-instruct,humaneval_plus,cpr,163,163,529280,3247.116564417178,3097,368735,2262.1779141104294,2173,160545,984.9386503067485,953,448002,326140,121862,,,,160,111,0.69375
deepseek-coder-v2-lite-instruct,humaneval_plus,cr,163,163,385326,2363.963190184049,2265,256656,1574.5766871165645,1500,128670,789.3865030674847,749,304048,214061,89987,,,,160,115,0.71875
deepseek-coder-v2-lite-instruct,humaneval_plus,dcpr,163,163,160020,981.717791411043,907,120682,740.3803680981595,698,39338,241.33742331288343,220,78742,78087,655,78742,448002,369260,162,126,0.7777777777777778
deepseek-coder-v2-lite-instruct,humaneval_plus,dcr,163,163,160020,981.717791411043,907,120682,740.3803680981595,698,39338,241.33742331288343,220,78742,78087,655,78742,304048,225306,162,126,0.7777777777777778
deepseek-coder-v2-lite-instruct,humaneval_plus,direct,163,163,81278,498.63803680981596,461,42595,261.319018404908,244,38683,237.31901840490798,216,0,0,0,,,,162,126,0.7777777777777778
deepseek-coder-v2-lite-instruct,humaneval_plus,dr,163,163,160020,981.717791411043,907,120682,740.3803680981595,698,39338,241.33742331288343,220,78742,78087,655,78742,125337,46595,162,126,0.7777777777777778
deepseek-coder-v2-lite-instruct,humaneval_plus,r,163,163,206615,1267.5766871165645,1187,129158,792.3803680981595,750,77457,475.1963190184049,436,125337,86563,38774,,,,162,125,0.7716049382716049
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cpr,163,163,243276,1492.4907975460123,1427,134048,822.3803680981595,780,109228,670.1104294478528,649,161998,91453,70545,,,,163,99,0.6073619631901841
deepseek-coder-v2-lite-instruct,humaneval_plus,sc_cr,163,163,223919,1373.7361963190185,1275,132255,811.3803680981595,769,91664,562.3558282208589,509,142641,89660,52981,,,,162,121,0.7469135802469136
